fecha,region,casos,fallecidos
2020-03-25,O’Higgins,11,0
2020-03-25,Maule,30,0
2020-03-25,Ñuble,111,0
2020-03-25,Biobío,95,1
2020-03-25,Araucanía,74,0
2020-03-25,Los Ríos,11,0
2020-03-25,Los Lagos,44,0
2020-03-25,Aysén,1,0
2020-03-25,Magallanes,13,0
2020-03-26,Arica y Parinacota,3,0
2020-03-26,Tarapacá,5,0
2020-03-26,Antofagasta,20,0
2020-03-26,Atacama,1,0
2020-03-26,Coquimbo,13,0
2020-03-26,Valparaíso,44,0
2020-03-26,Metropolitana,746,3
2020-03-26,O’Higgins,14,0
2020-03-26,Maule,31,0
2020-03-26,Ñuble,114,0
2020-03-26,Biobío,109,1
2020-03-26,Araucanía,111,0
2020-03-26,Los Ríos,14,0
2020-03-26,Los Lagos,60,0
2020-03-26,Aysén,2,0
2020-03-26,Magallanes,19,0
2020-03-27,Arica y Parinacota,3,0
2020-03-27,Tarapacá,5,0
2020-03-27,Antofagasta,21,0
2020-03-27,Atacama,1,0
2020-03-27,Coquimbo,14,0
2020-03-27,Valparaíso,49,0
2020-03-27,Metropolitana,938,3
2020-03-27,O’Higgins,16,0
2020-03-27,Maule,32,0
2020-03-27,Ñuble,144,0
2020-03-27,Biobío,135,2
2020-03-27,Araucanía,143,0
2020-03-27,Los Ríos,22,0
2020-03-27,Los Lagos,63,0
2020-03-27,Aysén,2,0
2020-03-27,Magallanes,22,0
2020-03-28,Arica y Parinacota,3,0
2020-03-28,Tarapacá,5,0
2020-03-28,Antofagasta,25,0
2020-03-28,Atacama,1,0
2020-03-28,Coquimbo,15,0
2020-03-28,Valparaíso,71,0
2020-03-28,Metropolitana,1084,3
2020-03-28,O’Higgins,20,0
2020-03-28,Maule,37,0
2020-03-28,Ñuble,172,0
2020-03-28,Biobío,151,2
2020-03-28,Araucanía,177,1
2020-03-28,Los Ríos,27,0
2020-03-28,Los Lagos,93,0
2020-03-28,Aysén,2,0
2020-03-28,Magallanes,26,0
2020-03-29,Arica y Parinacota,4,0
2020-03-29,Tarapacá,6,0
2020-03-29,Antofagasta,27,0
2020-03-29,Atacama,2,0
2020-03-29,Coquimbo,18,0
2020-03-29,Valparaíso,80,0
2020-03-29,Metropolitana,1167,3
2020-03-29,O’Higgins,21,0
2020-03-29,Maule,42,0
2020-03-29,Ñuble,197,0
2020-03-29,Biobío,185,2
2020-03-29,Araucanía,205,2
2020-03-29,Los Ríos,40,0
2020-03-29,Los Lagos,104,0
2020-03-29,Aysén,2,0
2020-03-29,Magallanes,39,0
