fecha,region,codigo_iso,casos,fallecidos
2020-03-15,Los Lagos,CL-LL,1,0
2020-03-15,Aysén,CL-AI,1,0
2020-03-16,Antofagasta,CL-AN,2,0
2020-03-16,Atacama,CL-AT,1,0
2020-03-16,Valparaíso,CL-VS,1,0
2020-03-16,Metropolitana,CL-RM,123,0
2020-03-16,Maule,CL-ML,9,0
2020-03-16,Ñuble,CL-NB,12,0
2020-03-16,Biobío,CL-BI,4,0
2020-03-16,Araucanía,CL-AR,1,0
2020-03-16,Los Ríos,CL-LR,1,0
2020-03-16,Los Lagos,CL-LL,1,0
2020-03-16,Aysén,CL-AI,1,0
2020-03-17,Antofagasta,CL-AN,2,0
2020-03-17,Atacama,CL-AT,1,0
2020-03-17,Valparaíso,CL-VS,1,0
2020-03-17,Metropolitana,CL-RM,152,0
2020-03-17,Maule,CL-ML,9,0
2020-03-17,Ñuble,CL-NB,26,0
2020-03-17,Biobío,CL-BI,4,0
2020-03-17,Araucanía,CL-AR,1,0
2020-03-17,Los Ríos,CL-LR,1,0
2020-03-17,Los Lagos,CL-LL,1,0
2020-03-17,Aysén,CL-AI,1,0
2020-03-17,Magallanes,CL-MA,2,0
2020-03-18,Antofagasta,CL-AN,2,0
2020-03-18,Atacama,CL-AT,1,0
2020-03-18,Valparaíso,CL-VS,1,0
2020-03-18,Metropolitana,CL-RM,174,0
2020-03-18,Maule,CL-ML,11,0
2020-03-18,Ñuble,CL-NB,26,0
2020-03-18,Biobío,CL-BI,7,0
2020-03-18,Araucanía,CL-AR,4,0
2020-03-18,Los Ríos,CL-LR,1,0
2020-03-18,Los Lagos,CL-LL,8,0
2020-03-18,Aysén,CL-AI,1,0
2020-03-18,Magallanes,CL-MA,2,0
2020-03-19,Arica y Parinacota,CL-AP,1,0
2020-03-19,Antofagasta,CL-AN,2,0
2020-03-19,Atacama,CL-AT,1,0
2020-03-19,Coquimbo,CL-CO,2,0
2020-03-19,Valparaíso,CL-VS,4,0
